ID,K00311,K00785,K00908,K00511,K04141,K00361,K00510,K01040,K02060,K00196,K00362,K00071,K03060,K04113,K03013,K05200,K04142,K00633,K04070,K00940,K05204,K00380,K05203,K00640,K00906,K00140,K05120,K00750,K00590,K00780,K00281,K00450,K00195,K00650,K05134,K04151,K00790,K04626,K00350,K00740,K03430,K00720,K00561,K00730,K00564,K00670,K00052,K00920,K00770,K00040,K00310,K00480,K00130,K03410,K00360,K04066,K00540,K04122,K00521,K02040,K00910,K00680,K00900,K04146,K00051,K00760,K03440,K00061,K00630,K00340,K00520,K02030,K00400,K00550,K00240,K00300,K00500,K00030,K00020,K03420,K00290,K03030,K04112,K00620,K00330,K03020,K03070,K00010,K00280,K00270,K00860,K03018,K03010,K00230,K00260,K00190,K00250,K02020,K00970,K02010
ADM3_R1_q25,42,55,14,15,57,10,26,4,63,178,19,15,57,282,48,64,159,9,77,235,46,47,97,79,128,123,21,73,80,14,19,139,169,58,29,58,77,213,80,138,186,191,221,104,118,366,236,120,179,469,187,107,307,255,155,453,183,202,333,337,217,519,485,287,496,463,624,505,203,268,415,602,553,304,581,455,707,562,408,683,877,509,587,938,780,726,647,944,249,1057,954,1249,1114,1276,1072,1349,1322,1743,2188,2439
SSD4_S18_L001_R1_001,4,5,9,34,24,5,15,9,17,9,8,6,20,21,44,25,30,26,17,49,5,29,12,26,14,34,6,30,20,11,22,23,8,28,21,34,40,79,64,50,55,66,66,36,35,59,126,94,68,126,69,31,39,59,65,183,37,79,138,67,24,279,96,108,141,157,138,135,117,135,179,140,128,66,162,167,202,173,187,274,279,217,374,365,184,301,252,427,268,290,153,399,364,440,460,576,576,477,927,896
M1_2,1017,736,716,1491,804,2058,1692,1791,1161,3327,1595,1236,1217,2838,1282,2178,2153,848,1991,2293,3784,2293,2202,1632,3826,4219,2151,2431,3475,2446,3902,2985,7199,2883,3437,2576,3076,3256,5454,4037,4091,3796,5854,5106,5121,5102,6961,6875,7307,8253,7660,8896,8525,7558,7943,8571,5536,8566,8717,5542,6109,7427,9522,10991,10685,12078,11335,12161,15972,12452,12503,7475,14013,11384,14113,16117,18545,17285,15193,15967,21972,16769,19270,21886,27136,21319,18311,23261,29761,24988,32321,30688,26382,33913,44524,44103,46288,44380,61000,96268
DEVA_BWPP7_M,847,595,653,2564,2008,685,1235,1082,1457,233,1862,859,1412,1584,2991,2808,3274,3083,1426,2487,1532,2633,2412,2917,1596,5420,1270,3046,3079,2371,4437,3862,1360,4422,5056,4663,2933,5970,5136,4906,4029,6579,5340,5127,4626,6381,9266,9671,6587,10669,8672,6263,5886,7473,10978,13685,6850,8707,12244,8634,7636,22729,9908,14906,14070,13046,13942,13097,15078,14953,14841,11536,13300,11734,16914,20235,25225,20168,26383,23561,27294,20219,28889,29981,21978,29996,26421,37830,34298,34398,22434,39521,35436,44509,52268,54792,66911,58007,92202,98961
SSD7_S5_L001_R1_001,91,37,58,301,76,33,159,30,97,28,48,22,98,148,138,169,263,145,108,364,53,144,134,140,110,235,60,183,167,155,210,220,50,258,305,219,193,383,317,267,352,392,481,337,258,363,1129,484,405,1071,444,252,258,490,579,1019,411,582,866,601,404,1989,654,775,1048,981,966,803,875,947,1219,1479,953,815,1132,1286,1850,1558,1602,1852,1969,1488,2153,2008,1530,2086,1616,2833,2023,2286,1452,2442,2308,2801,3498,3975,4323,3497,6325,8462
M9_2,1080,917,906,562,271,2170,1140,2496,1663,921,2082,2048,1147,1528,940,2697,1058,659,1987,1513,3718,2443,2274,2843,3247,1754,2003,3364,3961,3035,4769,3011,1935,4957,4077,2905,3150,4367,7112,4653,4210,4765,6048,5477,6474,6683,5456,7331,7851,6177,10958,10221,8283,9422,11017,10926,7526,8395,8230,9489,5636,7182,10949,13732,9772,13575,12530,15580,15405,17343,13205,8773,15679,15245,17135,18833,11473,16841,17730,18645,20749,19868,24076,25391,29934,26034,25161,27707,41581,29029,27331,35345,34735,44476,52149,51151,56597,49893,73756,95793
G5088,669,1076,965,1525,2920,216,1160,699,1176,867,948,594,1910,1332,3689,1642,2500,1072,1854,2107,794,2489,2808,2379,2082,1308,1904,3628,2976,2388,3422,3177,1908,4762,3762,4824,4158,7000,4333,6947,5201,7464,5973,6018,5239,7003,8922,7305,7830,10415,9493,6237,5514,6164,11139,11382,7106,10208,12534,9065,3796,20631,11358,13306,14194,14215,18064,13653,14138,17856,18327,13104,15290,12570,21570,18870,22837,19070,25538,24425,25954,25327,30867,28612,27813,35696,29941,36798,27490,35376,20400,39965,43502,52744,55737,56578,67117,40791,105824,81731
SSD8_S7_L003_R1_001,124,83,70,333,216,35,159,71,159,33,75,53,132,144,348,266,348,261,163,379,88,197,248,187,170,347,104,395,249,264,329,398,54,351,428,421,338,571,494,509,454,564,677,600,459,697,1367,870,666,1322,686,440,465,796,1024,1600,647,967,1247,966,543,2927,948,1263,1565,1624,1618,1369,1474,1506,1790,1731,1488,1246,1806,1959,2604,2281,2697,2873,3071,2326,3023,3239,2480,3164,2652,4382,2903,3381,2102,3853,3689,4996,5454,6327,6802,5484,10155,11225
LHC14.Cone.Pool.Cones,4670,1695,1941,796,5590,1926,4282,1808,739,7908,190,183,4273,6462,1343,1198,553,386,4499,2306,651,792,6247,1456,15734,52,1680,5596,5820,3822,2118,8498,17783,1092,6857,7392,7185,5867,11170,11493,16758,22775,8354,12249,11332,10770,9037,4237,16530,7332,15334,5279,9705,9221,10630,12098,20291,19134,21207,4124,10127,10258,26842,14663,25791,24070,26639,27080,16201,26441,29578,12217,30264,30872,33016,28731,28012,31363,34043,45657,17838,40526,49302,40840,37544,46498,41288,44020,44022,47938,108963,54816,79031,71645,67473,109082,86071,48624,139158,119998
Zloty_Stok_ZS_2,2696,2367,2385,891,2465,1836,2437,2489,787,1,2061,4794,5360,2304,6028,5552,6472,4922,5509,4627,2254,6663,6621,4746,3423,1882,7677,6747,4429,11845,5514,7808,70,6248,7947,11684,10815,9556,12792,12136,11518,11116,9479,12825,11266,18247,13736,15932,14080,13362,20531,19803,21741,20727,13236,22300,33777,22366,24435,16004,34326,19542,26902,26471,25297,29573,29717,35118,24380,38449,44080,29893,33392,43645,44017,39535,35159,44813,42651,45991,34635,57164,62912,48431,49579,70226,68806,67885,57287,66039,43109,86890,104002,97732,93474,109508,113413,118914,185325,120893
Zloty_Stok_ZS_3,4761,3474,3871,3325,2147,9490,4482,7217,4811,6,20075,8621,7204,8137,6130,9455,8932,7849,8795,10492,14738,16023,9733,11153,2741,20965,9023,11605,15072,14419,23572,14541,280,17973,16375,16859,15640,18605,30851,19546,18959,22971,23285,21945,26662,28939,26859,31070,31251,35540,38039,35774,33789,37162,40662,38411,47524,40008,38699,30698,45358,34432,46188,52148,45078,57274,56503,62398,69506,66099,65899,41861,63093,71365,71788,74667,52168,81146,79291,88249,86634,90319,102771,101506,110092,118980,121191,114889,167183,123638,75640,139446,154829,181109,195970,214650,221011,291825,314800,360000
SD6_S2_L002_R1_001,110,85,100,376,138,111,188,87,170,135,109,72,206,241,243,368,402,409,230,446,256,267,338,393,369,573,242,374,385,243,398,448,295,719,579,529,377,758,618,607,622,759,826,727,627,723,1421,1198,897,1473,1138,787,714,1072,1215,1563,830,1121,1395,1259,1074,2520,1320,1587,1843,1955,1641,1579,1855,1800,2080,2635,1670,1792,2063,2592,3545,2728,2791,2916,3033,2560,3959,3622,3007,3826,3348,4596,3879,4034,3795,4544,4888,5334,6617,7512,7824,6887,11072,13753
JM5.R1,244,498,431,180,348,320,501,610,952,35,382,1061,871,237,362,1006,737,1326,803,723,1157,620,824,1571,1856,836,234,1263,1615,760,1021,1571,218,3153,1866,423,1666,1412,2362,2271,2080,1872,2913,3318,2687,2455,2210,3150,3408,3121,4986,3414,2961,3397,4106,4306,2262,4081,3723,2377,1194,2894,4650,5659,4632,7044,5714,6458,9137,5974,5771,3053,6949,8137,7545,8372,6899,6230,6328,8533,7899,9233,12431,13195,7980,11160,9777,11970,16217,12496,19200,12341,14939,17550,23083,25619,22381,21028,33705,35906
SSD4_S18_L002_R1_001,80,41,52,214,215,26,132,49,79,28,59,29,81,122,308,160,215,185,109,247,62,109,129,140,91,268,41,210,147,159,251,207,34,232,253,344,176,471,277,298,327,367,357,374,279,438,960,609,449,852,482,196,232,469,593,1030,373,675,956,550,312,2104,544,808,953,952,1085,832,916,1090,1130,1257,974,705,1275,1321,1734,1565,1792,1804,2080,1427,2060,2109,1432,2202,1716,2846,1834,2220,1379,2670,2555,3323,3487,4294,4644,3425,6978,6990
