ID,Cyanothece,Bacteroides,Salinibacter,Synechococcus,Roseiflexus,Nostoc,Microcoleus,Planctomyces,Geobacter,Anabaena,Desulfovibrio,Rhodopirellula,Roseobacter,Pseudomonas,Clostridium,Ruegeria,Rhodothermus,Rhodobacter,Bacillus,Trichodesmium,Chlorobium,Blastopirellula,Synechocystis,Chloroherpeton,Rhodopseudomonas,Burkholderia,Pirellula,Methylobacterium,Rhodospirillum,unclassified_(derived_from_Deltaproteobacteria),Bradyrhizobium,Chloroflexus,Nitrosococcus,Flavobacterium,Syntrophobacter,Methylotenera,Spirochaeta,Candidatus_Solibacter,Sinorhizobium,Desulfatibacillum,Pelobacter,Thioalkalivibrio,Anaeromyxobacter,Desulfococcus,Xanthomonas,Shewanella,Mesorhizobium,Roseovarius,Methylobacter,unclassified_(derived_from_Gammaproteobacteria),Streptomyces,Rhizobium,Acaryochloris,Parvibaculum,Magnetospirillum,Cytophaga,Hyphomonas,Pedobacter,Desulfobacterium,Jannaschia,Dinoroseobacter,Methylobacillus,Opitutus,Gramella,Marivirga,Mycobacterium,Syntrophus,Spirosoma,Rhodomicrobium,Lyngbya,Myxococcus,Caulobacter,Maricaulis,Vibrio,Oscillatoria,Thermosynechococcus,Labrenzia,Arthrospira,Marinobacter,Leptospira,Haliangium,unclassified_(derived_from_Alphaproteobacteria),Alkalilimnicola,Chitinophaga,Microcystis,Agrobacterium,Methylococcus,Sorangium,Chlorobaculum,Acidovorax,Cupriavidus,Chelativorans,Polaromonas,Nitrobacter,Dyadobacter,Desulfonatronospira,Xanthobacter,Allochromatium,Algoriphagus,Oceanicola
JM29.R1,2234,602,14316,1322,957,856,462,1464,860,647,690,1723,7610,2334,479,7311,4034,5074,681,462,479,786,650,215,4012,1735,677,4063,3816,216,3338,404,1407,625,214,56,371,696,2774,140,381,1104,724,137,885,1083,2086,4582,124,1377,912,1817,361,3162,2015,545,1107,408,118,2864,3280,105,326,952,717,745,138,529,4159,234,470,1178,857,676,132,213,2135,181,1157,169,569,1582,1006,300,235,1340,574,360,206,398,716,1936,416,1592,423,78,2018,1088,540,1933
JM4.R1,1544,835,51158,952,1023,669,352,1180,877,444,704,1687,4385,1283,443,4048,12596,3249,771,336,697,559,340,415,3553,1193,522,3426,2251,233,2788,462,1017,520,270,39,650,711,2210,164,430,595,1064,152,464,687,1626,2243,71,566,665,1696,246,2921,1325,608,905,592,138,1401,1782,77,353,978,596,521,171,703,4400,208,831,1074,699,535,90,175,1994,171,669,211,813,862,600,537,184,1168,311,480,346,359,411,1691,268,1578,464,110,1833,356,410,1125
JM23.R1,5724,726,14944,2290,948,2164,1310,1221,836,1545,850,1680,6486,2106,528,6401,4133,5047,606,1164,508,622,1605,236,4093,1584,540,4000,3758,197,3358,389,1405,490,241,55,540,545,2666,150,365,1091,695,162,839,982,1951,3530,146,1323,780,1845,757,3036,1962,540,1025,378,149,2481,2966,143,257,868,692,690,149,453,4071,587,460,1126,775,601,375,474,2108,486,1117,166,503,1620,947,285,609,1219,579,320,180,383,639,1871,406,1628,385,88,2008,1537,445,1816
JM26.R1,1684,1647,37379,1008,1242,671,392,1180,1023,514,1074,1750,5438,1315,873,5105,8982,4041,953,300,777,672,400,455,3043,1125,595,2779,2270,362,2331,549,907,1139,395,38,2203,778,1956,357,514,652,720,374,475,759,1427,2999,84,564,639,1344,268,2535,1336,1108,1129,1083,451,1737,2132,99,377,1602,1238,484,260,1138,3386,232,537,1041,723,610,101,156,1643,160,536,316,648,909,607,1096,204,941,335,342,341,309,415,1367,355,1358,748,168,1521,463,718,1477
JM30.R1,5573,667,14906,2311,889,2111,1252,1033,849,1643,973,1175,7196,2199,517,7196,4296,5464,618,1179,447,489,1448,226,3809,1510,435,3677,3591,239,3022,392,1421,456,281,47,675,554,2594,175,395,1222,703,199,957,1034,1826,4006,139,1545,647,1738,861,2910,1971,475,920,326,161,2897,3326,114,299,690,510,558,179,435,4012,572,432,1174,816,680,361,436,2043,460,998,185,528,1434,1016,261,612,1174,552,313,196,386,636,1685,447,1632,347,106,1825,1352,383,1966
JM8.R1,4778,713,17998,1639,2298,3373,10029,775,1230,2126,1460,930,1787,1656,776,1851,4270,1597,985,1349,570,369,923,218,1021,1136,327,975,2163,680,889,1346,1593,269,643,43,542,524,725,550,504,1362,703,539,528,1257,493,997,161,735,761,500,635,652,1197,273,179,261,562,748,864,134,207,397,256,506,327,344,179,341,531,373,241,2742,365,371,386,271,1316,149,514,795,919,222,474,361,604,369,214,273,466,368,236,423,256,231,328,3134,225,557
JM6.R1,1802,1444,35215,1155,1247,745,429,1247,1153,576,961,1580,4652,1622,793,4499,9194,3914,915,414,809,617,420,432,3216,1274,555,2840,2314,336,2422,641,1190,957,350,36,1787,761,1974,263,533,926,977,239,640,922,1421,2570,103,1089,682,1359,328,2467,1337,1091,916,1195,237,1475,1870,111,466,1355,1078,575,280,1007,3571,257,872,980,641,640,109,216,1771,221,791,325,919,841,760,1146,242,937,485,704,331,361,472,1468,368,1365,699,152,1541,1130,640,1338
JM5.R1,1334,1048,33552,902,1238,558,306,992,1167,375,1074,1186,4035,1604,658,3889,8984,3142,810,283,669,497,291,348,4512,1442,445,4132,2497,394,3097,550,1433,488,427,31,1151,757,2712,293,521,1063,1133,228,532,888,2026,1927,125,648,699,1896,216,3742,1437,629,801,538,230,1279,1422,121,270,787,626,567,253,605,6039,140,921,1135,714,623,91,116,2672,154,712,236,893,974,869,599,150,1322,576,586,350,362,534,2184,418,1932,410,126,2411,2567,403,1107
JM15.R1,4961,733,18379,1794,1759,3235,9312,1630,1474,2085,1445,1463,2415,1943,780,2434,3564,2123,932,1391,759,739,1060,377,3095,1535,727,2771,3937,505,2305,979,1757,423,530,48,542,773,1886,410,624,1534,1245,341,993,1137,1402,1506,145,1475,920,1267,628,2602,2166,509,514,429,333,733,927,129,351,618,595,756,307,532,3002,436,867,1069,910,644,357,430,1440,324,1042,259,830,1509,1037,360,548,873,586,595,313,382,545,1350,341,1431,292,271,1479,795,390,684
JM31.R1,2349,2365,22008,1249,2195,988,553,1263,1553,701,1547,2337,4104,1444,1436,3839,7487,3651,1217,519,1050,876,574,511,2893,1161,827,2847,2414,610,2240,1221,1104,1257,627,38,3847,740,1860,576,672,819,758,670,508,826,1267,2121,90,642,683,1261,354,2289,1453,1310,822,1413,686,1733,1863,99,383,1699,1337,532,441,1099,3117,293,619,993,595,634,162,266,1510,209,657,406,615,1010,621,1279,286,926,342,391,359,331,436,1257,321,1345,823,252,1333,573,777,1184
