#NAME,ADM3_R1_q25,SSD4_S18_L001_R1_001,M1_2,DEVA_BWPP7_M,SSD7_S5_L001_R1_001,M9_2,G5088,SSD8_S7_L003_R1_001,LHC14.Cone.Pool.Cones,Zloty_Stok_ZS_2,Zloty_Stok_ZS_3,SD6_S2_L002_R1_001,JM5.R1,SSD4_S18_L002_R1_001,SSD8_S7_L004_R1_001,SSD10_S12_L002_R1_001,M8_1,SD7_S4_L001_R1_001,JM6.R1,DEVA_BWPP7_G,M8_2,M4_1,JM23.R1,M6_1,M7_1,SD3_S15_L001_R1_001,G5089,M5_2,SSD6_S3_L003_R1_001,G5090,JM29.R1,KOW_3,SD6_S2_L001_R1_001,GB14.Black.Soil.Upstream.of.Weir,ADM1_R1_q25,KOW_2,DEVA_BWPP7_L,M2_2,GB14.Orange.Biofilm.Below.Weir,SSD9_S9_L002_R1_001,SSD3_S16_L003_R1_001,JM30.R1,DEVA_BWPP7_N,M4__2,SD10_S10_L001_R1_001,M2_1,M5_1,JM26.R1,DEVA_BWPP7_H,GB14.Cone.Pool.Mat,JM4.R1,M1_1,KOW_0,JM31.R1,M6_2,SSD10_S12_L003_R1_001,ADM2_R1_q25,M7_2,JM15.R1,M3_1,JM8.R1,DEVA_BWPP7_I,M3_2
K00010,943,426,23260,37829,2832,27706,36797,4381,44019,67884,114888,4595,11969,2845,4153,3753,25677,6544,10422,45771,25857,49,9822,55,24306,3429,34750,26160,3580,31274,13112,376,4698,29397,110346,185678,46516,24719,36367,3225,2337,11765,30807,24878,3072,24955,26349,11953,57337,39721,11151,23180,202919,10625,23861,3237,17595,24403,13858,23520,10210,55209,68
K00020,407,186,15192,26382,1601,17729,25537,2696,34042,42650,79290,2790,6327,1791,2709,2547,13480,3675,5704,33873,13739,39,5343,47,16726,2037,24542,15339,2145,21848,7261,204,2840,14848,74135,136453,33601,15797,26185,1959,1288,6324,21771,15497,1899,15374,15260,6546,40792,27515,5702,15055,154124,6083,15240,2019,11317,16515,7700,15423,5718,38476,42
K00030,561,172,17284,20167,1557,16840,19069,2280,31362,44812,81145,2727,6229,1564,2283,1955,20170,3342,5504,23994,20709,43,6186,42,19419,1706,17542,18529,1965,15133,7193,366,2629,28062,54361,146470,24866,17008,25350,1701,1313,6695,16405,18392,1535,16575,18246,6230,31377,25060,5795,17154,141263,5303,17085,1604,9168,19660,6907,16658,4657,29169,58
K00040,468,125,8252,10668,1070,6176,10414,1321,7331,13361,35539,1472,3120,851,1259,1053,5086,2125,2623,11463,5103,6,2865,0,10080,1075,9129,7619,1120,7523,3964,5,1571,7891,38470,30979,12819,7683,7624,1013,759,3308,7735,8646,723,7869,7672,3133,16120,11029,2659,7943,36086,2881,8769,777,6384,10310,2823,8477,2057,14113,2
K00051,495,140,10684,14069,1047,9771,14193,1564,25790,25296,45077,1842,4631,952,1359,1299,12493,2369,4224,13901,12528,21,4185,38,12580,1190,12229,12840,1190,11175,4669,145,1835,17496,52536,69302,18014,10682,20627,1067,786,4660,9600,11879,1020,10667,12452,5049,18936,22776,4632,10506,82090,4568,12096,1045,8608,12620,4902,10592,3909,17246,39
K00052,235,125,6960,9265,1128,5455,8921,1366,9036,13735,26858,1420,2209,959,1492,1163,5684,2550,2184,8049,5509,32,2047,41,7593,1105,8003,5783,1161,6563,2677,80,1570,10642,33641,30415,11280,7033,10327,1132,755,2360,5432,7036,880,6853,5822,2784,11798,15572,2057,7005,41120,2229,7478,957,5534,7747,2927,6545,2981,10865,35
K00053,38,6,728,637,56,511,454,42,183,909,4288,60,172,39,60,28,391,77,71,1050,444,1,157,0,870,40,414,660,31,279,218,8,70,252,1042,1868,634,647,207,31,28,143,560,793,28,691,665,63,1082,422,89,785,2297,92,860,12,195,867,173,832,183,987,0
K00061,504,134,12160,13096,802,15579,13652,1368,27079,35117,62397,1578,6457,831,1279,1136,12903,1951,5276,20306,13105,25,5854,24,13883,1057,12310,12799,1052,11035,7483,47,1690,15574,37905,104158,14783,12937,22152,886,741,6561,13509,13515,881,12760,12780,6120,26803,21503,5943,12033,105925,5015,13080,891,6334,13985,6423,13163,3480,23262,28
K00062,0,0,13,7,1,26,32,0,1,49,86,0,0,0,0,0,15,1,0,28,15,0,3,0,31,0,28,7,0,17,9,1,0,11,25,13,8,13,2,0,1,5,12,11,0,18,9,1,15,0,1,16,21,2,7,0,4,37,0,12,2,29,0
K00071,14,5,1235,858,21,2047,593,52,182,4793,8620,71,1060,28,70,32,2367,64,805,2726,2314,33,839,27,1421,34,515,1229,31,392,1161,13,68,768,1123,15403,848,1252,334,47,29,1011,1905,1298,27,1263,1292,906,3511,468,1157,1156,18606,635,1267,21,180,1472,962,1221,425,3546,32
K00100,81,0,189,160,4,187,201,3,25,259,650,6,15,1,10,0,85,10,15,223,74,1,25,0,135,6,211,77,5,111,34,1,15,27,199,312,192,157,14,5,6,19,162,115,5,125,58,10,339,29,8,168,644,11,130,5,41,156,27,182,15,315,1
K00120,0,0,125,72,2,362,167,9,22,87,365,9,158,7,8,0,71,3,75,82,65,0,149,0,47,2,168,152,0,148,296,0,15,540,111,287,33,130,39,6,0,237,96,134,3,135,167,72,205,0,109,124,385,55,155,1,23,56,69,98,21,134,0
K00130,306,38,8524,5885,257,8282,5513,464,9704,21740,33788,713,2960,231,479,411,11415,596,2450,11315,11347,16,3011,36,8263,317,4526,9372,324,4157,3502,12,802,20167,17591,61064,5975,8189,9399,290,291,3439,7175,8133,298,8435,9601,2556,14327,9132,2458,8305,62662,2098,8324,302,3387,8281,3675,7329,3311,13883,13
K00140,122,33,4218,5419,234,1753,1307,346,51,1881,20964,572,835,267,387,244,6196,529,689,4146,6353,0,1450,0,3337,278,1195,3691,291,1044,1892,0,564,4166,5251,9460,6466,3905,79,308,212,1752,3981,4012,222,3931,3653,879,5283,210,654,4293,11384,763,3464,245,674,3284,853,4888,649,3647,0
K00190,1348,575,44102,54791,3974,51150,56577,6326,109081,109507,214649,7511,25618,4293,6050,4987,53338,9237,21149,74151,54767,234,19476,336,45645,4857,51133,50350,4869,43881,25988,332,7669,71623,160584,353095,64219,46113,89446,4199,3223,24160,50939,46544,4130,45935,49455,22820,97753,90596,22224,43543,407182,20435,43805,4036,26942,45858,28312,43286,19520,91177,349
