#NAME,JM29.R1,JM4.R1,JM23.R1,JM26.R1,JM30.R1,JM8.R1,JM6.R1,JM5.R1,JM15.R1,JM31.R1,M3_1,M6_2,M2_1,M8_2,M1_2,M4_1,M7_2,M1_1,M7_1,M6_1,M4__2,M5_1,M5_2,M8_1,M3_2,M2_2,M9_2,DEVA_BWPP7_M,DEVA_BWPP7_G,DEVA_BWPP7_H,DEVA_BWPP7_L,DEVA_BWPP7_I,DEVA_BWPP7_N,ADM1_R1_q25,ADM2_R1_q25,ADM3_R1_q25,GB14.Cone.Pool.Mat,GB14.Orange.Biofilm.Below.Weir,GB14.Black.Soil.Upstream.of.Weir,LHC14.Cone.Pool.Cones,G5090,G5088,G5089,KOW_3,KOW_0,Zloty_Stok_ZS_2,KOW_2,Zloty_Stok_ZS_3,SSD10_S12_L002_R1_001,SSD4_S18_L001_R1_001,SSD7_S5_L001_R1_001,SSD4_S18_L002_R1_001,SSD9_S9_L002_R1_001,SSD8_S7_L003_R1_001,SSD3_S16_L003_R1_001,SD3_S15_L001_R1_001,SD6_S2_L001_R1_001,SSD6_S3_L003_R1_001,SSD10_S12_L003_R1_001,SD6_S2_L002_R1_001,SD10_S10_L001_R1_001,SSD8_S7_L004_R1_001,SD7_S4_L001_R1_001
Abiotrophia,22,24,25,41,33,35,56,35,54,64,138,142,149,89,123,151,150,146,151,143,146,142,138,107,156,157,99,446,282,371,593,395,190,1758,246,11,303,99,115,167,456,602,542,1325,3522,341,2586,587,62,42,60,55,67,73,43,44,65,47,43,43,46,54,117
Acanthamoeba,4,1,2,4,5,2,7,0,9,3,22,11,6,1,16,6,1,5,2,3,4,5,4,0,23,5,2,68,112,185,67,173,49,30,1,1,10,6,26,8,3,8,7,118,87,559,40,107,0,0,0,0,0,2,0,1,4,1,1,2,0,0,2
Acaryochloris,2886,1463,4919,1716,5900,3880,1680,1403,4873,2019,23353,33455,34334,91276,35893,38862,15403,35628,15686,32995,39498,62569,62910,89739,23690,34452,8214,6219,6742,12720,5620,10351,5776,18340,6548,698,5602,14308,92237,21476,4761,6897,6354,11744,9136,6435,8152,10767,612,645,651,571,567,891,489,608,2502,691,540,2330,664,920,1640
Acetivibrio,130,82,103,186,95,167,102,144,182,301,539,619,555,402,618,517,575,595,609,577,596,460,464,340,521,530,294,1771,908,1226,2592,1018,687,10604,878,39,2471,1277,297,2409,3599,5767,4395,5218,26706,1731,18237,3093,273,242,232,236,246,264,147,226,251,264,203,228,210,293,451
Acetobacter,1175,552,950,686,1071,392,523,522,1032,598,1229,1036,982,900,976,1183,545,958,521,931,1245,986,1001,878,1136,995,1068,1473,3008,3495,1220,3042,1750,1683,522,14,281,182,852,258,575,697,657,1239,2233,1782,2360,4094,56,60,77,59,48,110,110,96,181,81,36,177,48,96,147
Acetohalobium,239,310,236,491,267,879,325,298,1549,608,655,568,700,407,664,616,649,670,599,577,650,504,440,432,674,662,567,3056,1527,1745,4535,1810,1187,30886,3242,167,1688,579,353,552,5460,7166,6760,1749,5317,669,4799,2188,811,439,399,442,445,603,246,434,399,464,641,356,506,568,892
Achelia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acholeplasma,41,20,36,42,32,52,29,23,62,65,175,147,194,105,211,142,406,244,379,134,144,159,145,94,165,205,219,465,336,437,568,387,241,17793,1469,78,231,67,30,96,1263,1720,1419,707,6628,530,5476,929,42,36,26,39,36,38,24,34,37,36,34,36,22,36,58
Achromobacter,2248,1203,1782,1140,1942,710,1060,1831,1716,987,4161,2973,3914,3915,3322,3833,4226,3366,4035,3064,3650,3926,3887,4070,4169,3917,5157,3352,8254,8511,3489,7820,4452,2942,692,42,1128,728,1495,951,1502,2253,1716,21778,32750,10496,33731,46136,150,165,167,159,138,250,162,175,280,173,115,262,130,221,359
Acidaminococcus,122,116,72,165,132,142,113,149,184,182,568,463,579,436,524,531,576,569,560,462,582,490,519,439,630,569,611,1811,1184,1408,2403,1318,839,3980,542,31,1084,639,248,618,1967,2477,2182,1764,7762,818,5657,2594,226,158,173,179,187,226,100,185,168,214,163,155,165,206,350
